index,glyph_id,key_hex,key_bytes,char,source,reserved,unicode
79,0x2B,0x82ED,82ED,わ,original,0,U+308F
80,0x2C,0x82F0,82F0,を,original,0,U+3092
81,0x2D,0x82F1,82F1,ん,original,0,U+3093
82,0x51,0xF040,F040,一,private,0,U+4E00
83,0x52,0xF041,F041,丁,private,0,U+4E01
84,0x53,0xF042,F042,七,private,0,U+4E03
85,0x54,0xF043,F043,万,private,0,U+4E07
86,0x55,0xF044,F044,三,private,0,U+4E09
87,0x56,0xF045,F045,上,private,0,U+4E0A
88,0x57,0xF046,F046,下,private,0,U+4E0B
89,0x58,0xF047,F047,不,private,0,U+4E0D
90,0x59,0xF048,F048,与,private,0,U+4E0E
91,0x5A,0xF049,F049,专,private,0,U+4E13
92,0x5B,0xF04A,F04A,且,private,0,U+4E14
93,0x5C,0xF04B,F04B,世,private,0,U+4E16
94,0x5D,0xF04C,F04C,业,private,0,U+4E1A
95,0x5E,0xF04D,F04D,丛,private,0,U+4E1B
96,0x5F,0xF04E,F04E,东,private,0,U+4E1C
97,0x60,0xF04F,F04F,丝,private,0,U+4E1D
98,0x61,0xF050,F050,丢,private,0,U+4E22
99,0x62,0xF051,F051,两,private,0,U+4E24
100,0x63,0xF052,F052,严,private,0,U+4E25
101,0x64,0xF053,F053,丧,private,0,U+4E27
102,0x65,0xF054,F054,个,private,0,U+4E2A
103,0x66,0xF055,F055,丫,private,0,U+4E2B
104,0x67,0xF056,F056,中,private,0,U+4E2D
105,0x68,0xF057,F057,丰,private,0,U+4E30
106,0x69,0xF058,F058,串,private,0,U+4E32
107,0x6A,0xF059,F059,临,private,0,U+4E34
108,0x6B,0xF05A,F05A,丸,private,0,U+4E38
109,0x6C,0xF05B,F05B,为,private,0,U+4E3A
110,0x6D,0xF05C,F05C,主,private,0,U+4E3B
111,0x6E,0xF05D,F05D,丽,private,0,U+4E3D
112,0x6F,0xF05E,F05E,举,private,0,U+4E3E
113,0x70,0xF05F,F05F,久,private,0,U+4E45
114,0x71,0xF060,F060,么,private,0,U+4E48
115,0x72,0xF061,F061,义,private,0,U+4E49
116,0x73,0xF062,F062,之,private,0,U+4E4B
117,0x74,0xF063,F063,乌,private,0,U+4E4C
118,0x75,0xF064,F064,乎,private,0,U+4E4E
119,0x76,0xF065,F065,乏,private,0,U+4E4F
120,0x77,0xF066,F066,乐,private,0,U+4E50
121,0x78,0xF067,F067,乖,private,0,U+4E56
122,0x79,0xF068,F068,也,private,0,U+4E5F
123,0x7A,0xF069,F069,习,private,0,U+4E60
124,0x7B,0xF06A,F06A,乡,private,0,U+4E61
125,0x7C,0xF06B,F06B,书,private,0,U+4E66
126,0x7D,0xF06C,F06C,买,private,0,U+4E70
127,0x7E,0xF06D,F06D,乱,private,0,U+4E71
128,0x7F,0xF06E,F06E,乳,private,0,U+4E73
129,0x80,0xF06F,F06F,了,private,0,U+4E86
130,0x81,0xF070,F070,予,private,0,U+4E88
131,0x82,0xF071,F071,争,private,0,U+4E89
132,0x83,0xF072,F072,事,private,0,U+4E8B
133,0x84,0xF073,F073,二,private,0,U+4E8C
134,0x85,0xF074,F074,于,private,0,U+4E8E
135,0x86,0xF075,F075,亏,private,0,U+4E8F
136,0x87,0xF076,F076,云,private,0,U+4E91
137,0x88,0xF077,F077,互,private,0,U+4E92
138,0x89,0xF078,F078,五,private,0,U+4E94
139,0x8A,0xF079,F079,井,private,0,U+4E95
140,0x8B,0xF07A,F07A,亚,private,0,U+4E9A
141,0x8C,0xF07B,F07B,些,private,0,U+4E9B
142,0x8D,0xF07C,F07C,交,private,0,U+4EA4
143,0x8E,0xF07D,F07D,亦,private,0,U+4EA6
144,0x8F,0xF07E,F07E,产,private,0,U+4EA7
145,0x90,0xF080,F080,享,private,0,U+4EAB
146,0x91,0xF081,F081,京,private,0,U+4EAC
147,0x92,0xF082,F082,亮,private,0,U+4EAE
